b_equal_positions	a_opposite_orbit_representative	fourth_order_rank	b_fifth_residue_fingerprints	fifth_s_soluble
7,9,12,14	0,3,6,9,15	18	102180	0
7,8,13,14	0,4,8,12,16	18	113724	1
6,9,12,15	0,3,6,12,15	19	100612	1
6,7,14,15	0,3,6,9,12	18	100772	0
5,8,13,16	0,1,5,9,10	19	109460	1
5,7,14,16	0,3,8,11,16	18	107612	1
5,6,15,16	0,2,4,8,13	20	105252	1
5,6,15,16	0,2,4,12,17	20	105252	1
3,9,12,18	0,3,6,9,12	19	89320	0
3,8,13,18	0,1,2,4,17	20	80504	0
3,8,13,18	0,1,2,6,19	20	80504	0
3,8,13,18	0,2,5,13,15	20	80504	0
3,8,13,18	0,2,8,10,18	20	80504	0
3,7,14,18	0,3,6,12,15	18	62200	0
3,6,15,18	0,3,6,9,15	19	93768	0
2,8,13,19	0,2,5,8,17	20	101868	1
2,8,13,19	0,2,6,15,18	20	101868	1
2,7,14,19	0,1,2,3,4	18	107612	1
2,6,15,19	0,1,2,6,11	20	105252	1
2,6,15,19	0,1,2,12,17	20	105252	1
1,7,14,20	0,1,2,11,12	18	113724	1
1,5,16,20	0,1,3,6,12	20	101868	1
1,5,16,20	0,1,10,16,19	20	101868	1
1,3,18,20	0,1,2,5,6	20	80504	0
1,3,18,20	0,1,2,17,18	20	80504	0
1,3,18,20	0,1,3,11,16	20	80504	1
1,3,18,20	0,1,6,11,19	20	80504	1
1,2,19,20	0,1,9,11,13	19	109460	0
